时间,操作
2020-01-07 11:20:00,启动A+B直供主管
2020-01-07 17:05:00,关闭A+B直供主管
2020-01-07 23:00:00,启动A+B水蓄能
2020-01-08 04:10:00,关闭A+B水蓄能
2020-01-08 04:30:00,启动A+B直供主管
2020-01-08 06:50:00,关闭A+B直供主管
2020-01-08 07:05:00,启动水蓄能放热主管
2020-01-08 10:55:00,关闭水蓄能放热主管
2020-01-08 11:00:00,启动A+B直供主管
2020-01-08 16:30:00,关闭A+B直供主管
2020-01-08 17:00:00,启动A+B水蓄能
2020-01-08 18:05:00,关闭A+B水蓄能
2020-01-08 23:05:00,启动A+B水蓄能
2020-01-09 03:00:00,关闭A+B水蓄能
2020-01-09 03:20:00,启动A+B直供主管
2020-01-09 06:50:00,关闭A+B直供主管
2020-01-09 07:05:00,启动水蓄能放热主管
2020-01-09 11:00:00,关闭水蓄能放热主管
2020-01-09 11:25:00,启动A+B直供主管
2020-01-09 12:05:00,启动太阳能工作日直供主管
2020-01-09 14:40:00,关闭太阳能工作日直供主管
2020-01-09 15:55:00,关闭A+B直供主管
2020-01-09 16:10:00,启动A+B水蓄能
2020-01-09 18:00:00,关闭A+B水蓄能
2020-01-09 22:55:00,启动A+B水蓄能
2020-01-10 02:05:00,关闭A+B水蓄能
2020-01-10 02:25:00,启动A+B直供主管
2020-01-10 06:50:00,关闭A+B直供主管
2020-01-10 07:10:00,启动水蓄能放热主管
2020-01-10 11:50:00,启动太阳能工作日直供主管
2020-01-10 14:50:00,关闭太阳能工作日直供主管
2020-01-10 16:40:00,关闭水蓄能放热主管
2020-01-11 00:15:00,启动A水蓄能
2020-01-11 06:50:00,关闭A水蓄能
2020-01-11 22:55:00,启动A+B水蓄能
2020-01-12 02:50:00,关闭A+B水蓄能
2020-01-12 03:10:00,启动A+B直供主管
2020-01-12 06:50:00,关闭A+B直供主管
2020-01-12 15:30:00,启动A+B直供主管
2020-01-12 17:45:00,关闭A+B直供主管
2020-01-12 23:15:00,启动A+B直供主管
2020-01-13 06:50:00,关闭A+B直供主管
2020-01-13 07:05:00,启动水蓄能放热主管
2020-01-13 10:55:00,关闭水蓄能放热主管
2020-01-13 11:10:00,启动A+B直供主管
2020-01-13 11:50:00,启动太阳能工作日直供主管
2020-01-13 14:50:00,关闭太阳能工作日直供主管
2020-01-13 16:25:00,关闭A+B直供主管
2020-01-13 16:45:00,启动A+B水蓄能
2020-01-13 18:50:00,关闭A+B水蓄能
2020-01-13 23:00:00,启动A+B水蓄能
2020-01-14 02:10:00,关闭A+B水蓄能
2020-01-14 02:35:00,启动A+B直供主管
2020-01-14 06:50:00,关闭A+B直供主管
2020-01-14 07:05:00,启动水蓄能放热主管
2020-01-14 12:20:00,关闭水蓄能放热主管
2020-01-14 12:40:00,启动A+B直供主管
2020-01-14 12:40:00,启动太阳能工作日直供主管
2020-01-14 14:55:00,关闭太阳能工作日直供主管
2020-01-14 15:55:00,关闭A+B直供主管
2020-01-14 16:10:00,启动A+B水蓄能
2020-01-14 17:50:00,关闭A+B水蓄能
2020-01-14 22:55:00,启动A+B水蓄能
2020-01-15 03:20:00,关闭A+B水蓄能
2020-01-15 03:40:00,启动A+B直供主管
2020-01-15 06:50:00,关闭A+B直供主管
2020-01-15 07:10:00,启动水蓄能放热主管
2020-01-15 11:00:00,关闭水蓄能放热主管
2020-01-15 11:10:00,启动A+B直供主管
2020-01-15 13:15:00,启动太阳能工作日直供主管
2020-01-15 14:55:00,关闭太阳能工作日直供主管
2020-01-15 16:50:00,关闭A+B直供主管
2020-01-15 17:10:00,启动A+B水蓄能
2020-01-15 22:35:00,关闭A+B水蓄能
2020-01-15 22:55:00,启动A+B直供主管
